LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,vfs,mpki,epi,ipc,cpi,p1_lat,p2_lat
6,8,11,12,11,100,14,6,0.765322,6.1980,1542.00,4.644158,0.061980,1,2
6,8,10,12,11,100,14,6,0.766918,6.3082,1341.00,4.651053,0.063082,1,2
6,8,9,12,11,100,14,6,0.767705,6.4918,1086.00,4.654627,0.064918,1,2
6,8,11,13,11,100,14,6,0.763822,6.2613,1535.00,4.641330,0.062613,1,2
6,8,11,12,11,20,14,6,0.724240,8.4394,1541.00,4.702563,0.084394,1,2
6,8,11,12,11,100,14,12,0.775896,6.1850,1543.00,4.759359,0.061850,1,2
6,8,11,12,11,100,10,6,0.768692,6.1576,1215.00,4.611918,0.061576,1,2
6,8,13,12,11,100,14,6,0.727734,6.0334,2160.00,4.441321,0.066368,1,3
6,10,11,12,11,100,14,6,0.759965,6.2609,1739.00,4.634925,0.062609,1,2
6,4,11,12,11,100,14,6,0.761633,6.9925,920.00,4.671523,0.069925,1,2
6,8,11,12,13,100,14,6,0.731839,6.1332,1751.00,4.442463,0.067465,1,3
6,8,11,12,11,50,14,6,0.753811,6.7776,1540.00,4.652499,0.067776,1,2
6,8,11,12,11,100,12,6,0.768431,6.2419,1259.00,4.636865,0.062419,1,2
6,8,11,12,15,100,14,6,0.700637,7.3995,1839.00,4.414168,0.081395,1,3
6,8,11,12,11,100,16,6,0.520147,6.1357,1955.00,2.608797,0.055221,2,2
6,8,11,12,11,300,14,6,0.760375,6.4708,1568.00,4.658574,0.064708,1,2
6,8,11,9,11,100,14,6,0.767232,6.1960,1448.00,4.647700,0.061960,1,2
6,8,11,12,11,150,14,6,0.770139,6.0229,1549.00,4.656875,0.060229,1,2
6,8,12,12,11,100,14,6,0.731082,6.1726,1705.00,4.436064,0.067898,1,3
6,8,11,12,9,100,14,6,0.617880,14.6394,1516.00,4.712345,0.146394,1,2
6,8,11,12,11,100,14,8,0.773100,6.1581,1543.00,4.721122,0.061581,1,2
6,8,11,12,11,200,14,6,0.765611,6.2040,1556.00,4.651258,0.062040,1,2
6,8,14,12,11,100,14,6,0.711097,6.4564,2571.00,4.425998,0.071020,1,3
6,8,11,10,11,100,14,6,0.764411,6.2808,1459.00,4.638646,0.062808,1,2
6,12,11,12,11,100,14,6,0.722475,6.2663,2102.00,4.431113,0.068930,1,3
6,6,11,12,11,100,14,6,0.770586,6.2599,1201.00,4.653859,0.062599,1,2
6,8,11,11,11,100,14,6,0.767506,6.1277,1508.00,4.645449,0.061277,1,2
6,8,11,12,7,100,14,6,0.627608,13.7451,1533.00,4.654356,0.137451,1,2
6,8,11,12,11,100,14,4,0.759259,6.2648,1543.00,4.593743,0.062648,1,2
6,8,11,14,11,100,14,6,0.764346,6.1431,1665.00,4.642373,0.061431,1,2
6,14,11,12,11,100,14,6,0.712244,6.3426,2680.00,4.427952,0.069769,1,3
6,4,14,11,10,80,11,5,0.722750,6.9915,1149.00,4.439817,0.076907,1,3
6,4,14,12,15,40,13,5,0.718286,7.0564,1386.00,4.449907,0.077620,1,3
6,6,10,10,11,80,14,6,0.764021,6.7327,1007.00,4.654702,0.067327,1,2
6,9,9,9,13,40,12,10,0.723505,8.7067,1116.00,4.669684,0.087067,1,2
6,10,12,13,12,150,14,6,0.718304,6.2444,2494.00,4.442079,0.068688,1,3
6,12,12,12,11,200,14,6,0.487606,6.0838,2533.00,2.475149,0.060838,2,3
6,13,12,9,7,40,11,7,0.587363,13.5711,2366.00,4.489283,0.149282,1,3
6,14,13,11,10,40,10,7,0.683489,7.2110,3492.00,4.431828,0.079321,1,3
6,5,10,9,13,100,13,10,0.777465,6.6050,821.00,4.738326,0.066050,1,2
6,4,10,14,13,130,12,6,0.763984,7.0080,763.00,4.669249,0.070080,1,2
6,9,11,10,11,400,15,5,0.519226,6.2683,1858.00,2.604477,0.056415,2,2
6,8,13,13,12,200,14,6,0.725587,6.0399,2273.00,4.437655,0.066439,1,3
6,12,10,14,15,160,11,16,0.758989,6.1506,1829.00,4.614009,0.061506,1,2
6,5,10,9,12,100,13,10,0.776073,6.6683,790.00,4.731338,0.066683,1,2
6,6,10,14,11,130,14,6,0.772198,6.1850,1246.00,4.662409,0.061850,1,2
6,6,10,9,13,80,13,6,0.766258,6.6813,919.00,4.650060,0.066813,1,2
6,7,10,9,13,100,14,7,0.774582,6.3082,1175.00,4.704836,0.063082,1,2
6,8,11,12,7,100,13,5,0.628572,13.8569,1312.00,4.641298,0.138569,1,2
6,8,10,10,11,160,14,6,0.771442,6.1781,1281.00,4.658985,0.061781,1,2
6,8,11,9,11,100,14,10,0.776301,6.2010,1447.00,4.749922,0.062010,1,2
6,9,11,14,13,130,12,6,0.763350,6.1511,1713.00,4.641749,0.061511,1,2
6,5,9,9,13,100,13,5,0.716634,9.1806,644.00,4.590809,0.091806,1,2
6,5,10,9,11,20,14,10,0.737982,8.7726,812.00,4.797188,0.087726,1,2
6,5,11,9,9,100,14,10,0.632816,14.1935,992.00,4.701902,0.141935,1,2
6,5,10,9,12,100,14,10,0.775634,6.7192,840.00,4.749269,0.067192,1,2
6,5,10,9,12,100,13,8,0.776196,6.6239,788.00,4.721544,0.066239,1,2
6,5,10,9,13,80,13,10,0.775613,6.7342,819.00,4.748268,0.067342,1,2
6,7,10,9,12,100,13,10,0.779601,6.2743,1081.00,4.734667,0.062743,1,2
6,5,10,9,12,40,13,8,0.765793,7.2015,780.00,4.740231,0.072015,1,2
6,5,10,9,13,100,13,7,0.773475,6.6708,821.00,4.708814,0.066708,1,2
6,5,10,13,13,300,13,10,0.764864,7.0299,994.00,4.732901,0.070299,1,2
6,7,10,9,13,100,13,10,0.778636,6.2399,1175.00,4.733806,0.062399,1,2
6,8,10,9,13,100,13,10,0.775049,6.2913,1323.00,4.734432,0.062913,1,2
6,7,10,12,13,100,14,10,0.779691,6.1701,1302.00,4.753120,0.061701,1,2
6,7,11,9,12,100,13,10,0.780429,6.1865,1125.00,4.731193,0.061865,1,2
6,7,10,9,13,100,14,4,0.766723,6.2399,1175.00,4.602147,0.062399,1,2
6,7,10,11,12,100,13,10,0.780683,6.2035,1118.00,4.736826,0.062035,1,2
6,7,11,9,13,100,13,10,0.779700,6.2005,1160.00,4.733237,0.062005,1,2
6,7,10,9,12,160,13,6,0.767705,6.5147,1088.00,4.660426,0.065147,1,2
6,13,10,9,12,100,16,10,0.515096,6.2723,2448.00,2.618159,0.056451,2,2
6,7,10,12,12,100,14,10,0.778589,6.2514,1275.00,4.755521,0.062514,1,2
6,7,11,9,10,100,13,10,0.777460,6.3367,1070.00,4.723535,0.063367,1,2
6,7,11,12,10,100,13,10,0.777772,6.2818,1146.00,4.728637,0.062818,1,2
6,7,13,14,13,100,13,10,0.737799,6.0723,2127.00,4.553939,0.066796,1,3
6,7,11,9,9,100,14,10,0.617376,14.7571,1287.00,4.673755,0.147571,1,2
6,7,10,11,12,250,13,10,0.768795,6.7641,1137.00,4.742518,0.067641,1,2
6,8,10,9,13,20,13,10,0.729528,8.7092,1320.00,4.788846,0.087092,1,2
6,12,10,12,13,100,14,10,0.762627,6.2928,2122.00,4.739043,0.062928,1,2
6,7,11,9,12,40,13,10,0.761738,7.1277,1120.00,4.746346,0.071277,1,2
6,7,11,14,13,100,13,10,0.777641,6.0888,1439.00,4.735886,0.060888,1,2
6,7,10,11,14,100,13,10,0.732749,8.1347,1252.00,4.673995,0.081347,1,2
6,7,12,9,8,100,13,10,0.617013,14.6065,1297.00,4.635236,0.146065,1,2
